image_idx,image_id,image_name,image_short,image_width,image_height,objects_count,own_score,competitor_score,other_ad_score,total_ad_score,telecom_score,telecom_share,visual_share,reason
31,30,Screenshot_37.png,f_031,2318.0,902.0,2,0.011123636541967814,0.0,0.0,0.011123636541967814,0.011123636541967814,1.0,1.0,Top own score
39,38,Screenshot_44.png,f_039,2361.0,946.0,3,0.010641941541699684,0.0,0.0017552583573357216,0.012397199899035405,0.010641941541699684,1.0,0.8584149346924467,Top own score
41,40,Screenshot_46.png,f_041,2393.0,969.0,2,0.009877379672521534,0.0,0.0,0.009877379672521534,0.009877379672521534,1.0,1.0,Top own score
44,43,Screenshot_49.png,f_044,2389.0,970.0,1,0.005967992346382407,0.0,0.0,0.005967992346382407,0.005967992346382407,1.0,1.0,Top own score
40,39,Screenshot_45.png,f_040,2462.0,972.0,4,0.004793370393556271,0.004351852790995469,0.0025510350739575446,0.011696258258509284,0.00914522318455174,0.524139246995449,0.40982084078632486,Top own score
52,51,Screenshot_56.png,f_052,2388.0,929.0,1,0.0,0.00525092618493126,0.0,0.00525092618493126,0.00525092618493126,0.0,0.0,Top competitor score
9,8,Screenshot_17.png,f_009,2424.0,984.0,2,0.0,0.004436547553544168,0.0,0.004436547553544168,0.004436547553544168,0.0,0.0,Top competitor score
40,39,Screenshot_45.png,f_040,2462.0,972.0,4,0.004793370393556271,0.004351852790995469,0.0025510350739575446,0.011696258258509284,0.00914522318455174,0.524139246995449,0.40982084078632486,Top competitor score
37,36,Screenshot_42.png,f_037,2391.0,972.0,1,0.0,0.002090791050833783,0.0,0.002090791050833783,0.002090791050833783,0.0,0.0,Top competitor score
45,44,Screenshot_5.png,f_045,2449.0,984.0,2,0.0,0.001974234931717614,0.0007431451031753918,0.002717380034893006,0.001974234931717614,0.0,0.0,Top competitor score
34,33,Screenshot_4.png,f_034,2495.0,962.0,5,0.0009638730653130281,0.000477050209696213,0.018903967635772553,0.020344890910781795,0.001440923275009241,0.6689274037209556,0.047376664221985214,Top other ads score
35,34,Screenshot_40.png,f_035,2363.0,973.0,3,0.0,0.0018485396860974405,0.014727546574435181,0.01657608626053262,0.0018485396860974405,0.0,0.0,Top other ads score
59,58,Screenshot_8.png,f_059,2418.0,976.0,1,0.0,0.0,0.012737747613791,0.012737747613791,0.0,,0.0,Top other ads score
1,0,Screenshot_1.png,f_001,2471.0,966.0,4,0.000853966210482567,0.0,0.006533101254634317,0.007387067465116883,0.000853966210482567,1.0,0.11560287143919498,Top other ads score
14,13,Screenshot_21.png,f_014,2442.0,971.0,5,0.0005465923452128029,0.0,0.005687366513507726,0.006233958858720529,0.0005465923452128029,1.0,0.08767981271615044,Top other ads score
34,33,Screenshot_4.png,f_034,2495.0,962.0,5,0.0009638730653130281,0.000477050209696213,0.018903967635772553,0.020344890910781795,0.001440923275009241,0.6689274037209556,0.047376664221985214,Top total ad load
35,34,Screenshot_40.png,f_035,2363.0,973.0,3,0.0,0.0018485396860974405,0.014727546574435181,0.01657608626053262,0.0018485396860974405,0.0,0.0,Top total ad load
59,58,Screenshot_8.png,f_059,2418.0,976.0,1,0.0,0.0,0.012737747613791,0.012737747613791,0.0,,0.0,Top total ad load
39,38,Screenshot_44.png,f_039,2361.0,946.0,3,0.010641941541699684,0.0,0.0017552583573357216,0.012397199899035405,0.010641941541699684,1.0,0.8584149346924467,Top total ad load
40,39,Screenshot_45.png,f_040,2462.0,972.0,4,0.004793370393556271,0.004351852790995469,0.0025510350739575446,0.011696258258509284,0.00914522318455174,0.524139246995449,0.40982084078632486,Top total ad load
